id;treatment;genotype;sex;slice;order;CbRegion(vermis_hemispheres);mean;area
18;ctrl;sca;m;6;E;hemispheres;37.846;366092.090
18;ctrl;sca;m;6;F;hemispheres;36.76;288198.684
18;ctrl;sca;m;7;A;vermis;34.166;256426.041
18;ctrl;sca;m;7;B;vermis;24.526;214123.798
18;ctrl;sca;m;7;C;hemispheres;34.533;227746.669
18;ctrl;sca;m;7;D;hemispheres;31.002;584806.881
18;ctrl;sca;m;7;E;hemispheres;38.678;440791.027
18;ctrl;sca;m;7;F;hemispheres;33.936;432637.882
18;ctrl;sca;m;8;A;vermis;30.242;283130.376
18;ctrl;sca;m;8;B;vermis;31.902;206358.576
18;ctrl;sca;m;8;C;hemispheres;35.292;524101.872
18;ctrl;sca;m;8;D;hemispheres;33.769;477087.199
18;ctrl;sca;m;8;E;hemispheres;28.911;646508.686
18;ctrl;sca;m;8;F;hemispheres;37.793;337768.595
18;ctrl;sca;m;9;A;vermis;29.197;368465.171
18;ctrl;sca;m;9;B;vermis;22.078;136699.275
18;ctrl;sca;m;9;C;hemispheres;26.443;508185.191
18;ctrl;sca;m;9;D;hemispheres;36.642;455874.515
18;ctrl;sca;m;9;E;hemispheres;36.256;405896.441
18;ctrl;sca;m;9;F;hemispheres;32.703;532791.364
18;ctrl;sca;m;10;A;vermis;24.547;213332.771
18;ctrl;sca;m;10;B;vermis;34.511;160807.893
18;ctrl;sca;m;10;C;hemispheres;33.299;283975.375
18;ctrl;sca;m;10;D;hemispheres;35.969;575938.607
18;ctrl;sca;m;10;E;hemispheres;24.86;245795.244
18;ctrl;sca;m;10;F;hemispheres;33.576;500978.243
18;ctrl;sca;m;11;A;vermis;27.182;184496.542
18;ctrl;sca;m;11;B;vermis;20.374;184412.211
18;ctrl;sca;m;11;C;hemispheres;32.042;200153.483
18;ctrl;sca;m;11;D;hemispheres;32.39;394147.411
18;ctrl;sca;m;11;E;hemispheres;32.972;590403.103
18;ctrl;sca;m;12;A;vermis;34.684;110239.501
18;ctrl;sca;m;12;B;vermis;31.88;196675.662
18;ctrl;sca;m;12;C;hemispheres;36.502;412125.148
18;ctrl;sca;m;12;D;hemispheres;36.801;438176.758
18;ctrl;sca;m;12;E;hemispheres;27.763;210807.893
18;ctrl;sca;m;12;F;hemispheres;30.866;176982.628
18;ctrl;sca;m;13;A;vermis;34.219;186559.285
18;ctrl;sca;m;13;B;vermis;33.717;111273.402
18;ctrl;sca;m;13;C;hemispheres;39.236;366360.263
18;ctrl;sca;m;13;D;hemispheres;39.458;173808.399
18;ctrl;sca;m;13;E;hemispheres;34.672;502570.417
18;ctrl;sca;m;13;F;hemispheres;28.496;156793.726
18;ctrl;sca;m;14;A;vermis;34.171;173005.566
18;ctrl;sca;m;14;B;vermis;30.045;197586.440
18;ctrl;sca;m;14;C;hemispheres;34.583;465913.307
18;ctrl;sca;m;14;D;hemispheres;35.898;107564.513
18;ctrl;sca;m;14;E;hemispheres;41.881;242276.944
18;ctrl;sca;m;15;A;vermis;39.297;168839.602
19;eda;sca;f;1;C;hemispheres;53.964;158394.333
19;eda;sca;f;1;D;hemispheres;56.828;521448.811
19;eda;sca;f;1;E;hemispheres;44.696;149647.495
19;eda;sca;f;2;A;vermis;50.749;144344.746
19;eda;sca;f;2;B;vermis;45.967;156722.888
19;eda;sca;f;2;C;hemispheres;53.329;370175.409
19;eda;sca;f;2;D;hemispheres;48.119;136960.702
19;eda;sca;f;2;E;hemispheres;53.515;498777.197
19;eda;sca;f;2;F;hemispheres;55.779;330021.926
19;eda;sca;f;3;A;vermis;50.614;172349.469
19;eda;sca;f;3;B;vermis;40.668;203299.039
19;eda;sca;f;3;C;hemispheres;49.418;449392.815
19;eda;sca;f;3;D;hemispheres;48.119;268441.558
19;eda;sca;f;3;E;hemispheres;55.876;359122.955
19;eda;sca;f;3;F;hemispheres;48.633;84852.420
19;eda;sca;f;4;A;vermis;53.196;159961.208
19;eda;sca;f;4;B;vermis;45.562;319269.691
19;eda;sca;f;4;C;hemispheres;49.814;527112.498
19;eda;sca;f;4;D;hemispheres;40.685;116206.780
19;eda;sca;f;4;E;hemispheres;54.563;365952.100
19;eda;sca;f;4;F;hemispheres;50.122;383700.455
19;eda;sca;f;5;A;vermis;51.383;589392.815
19;eda;sca;f;5;B;vermis;36.389;53756.114
19;eda;sca;f;5;C;hemispheres;49.818;596952.269
19;eda;sca;f;5;D;hemispheres;51.901;460411.537
19;eda;sca;f;5;E;hemispheres;52.314;307756.789
19;eda;sca;f;5;F;hemispheres;40.64;115228.538
19;eda;sca;f;6;A;vermis;52.125;92524.878
19;eda;sca;f;6;B;vermis;46.267;209126.328
19;eda;sca;f;6;C;hemispheres;52.634;223737.561
19;eda;sca;f;6;D;hemispheres;40.62;432661.494
19;eda;sca;f;6;E;hemispheres;52.231;620072.525
19;eda;sca;f;6;F;hemispheres;49.05;549268.005
19;eda;sca;f;7;A;vermis;44.909;368492.157
19;eda;sca;f;7;B;vermis;54.397;115886.321
