hist_id,slice,side,part ID,structure,area,psa_ncam
6370,12 - control,p,,CA4 pyr,17667,11.774
6370,12 - control,p,,DG PL hilus,26136,11.077
6370,12 - control,p,,DG-ML,70156,12.26
6372,1,l,,CA1 SLM,X,X
6372,1,l,,CA4 pyr,26690,20.288
6372,1,l,,DG PL hilus,8492,24.816
6372,1,l,,DG-ML,5000,25.511
6372,1,p,,CA1 SLM,X,X
6372,1,p,,CA4 pyr,21207,20.534
6372,1,p,,DG PL hilus,7316,23.176
6372,1,p,,DG-ML,16523,34.074
6372,2,l,,CA1 SLM,9222,17.756
6372,2,l,,CA4 pyr,28256,16.768
6372,2,l,,DG PL hilus,1954,17.922
6372,2,l,,DG-ML,16925,17.536
6372,2,p,,CA1 SLM,14965,19.603
6372,2,p,,CA4 pyr,26284,20.402
6372,2,p,,DG PL hilus,19848,22.914
6372,2,p,,DG-ML,21096,20.48
6372,3,l,,CA1 SLM,9062,19.53
6372,3,l,,CA4 pyr,22066,19.3
6372,3,l,,DG PL hilus,37688,21.163
6372,3,l,,DG-ML,82808,18.05
6372,3,p,,CA1 SLM,10916,19.569
6372,3,p,,CA4 pyr,27625,16.099
6372,3,p,,DG PL hilus,40260,19.188
6372,3,p,,DG-ML,30180,19.118
6372,4,l,,CA1 SLM,14069,17.798
6372,4,l,,CA4 pyr,22005,15.537
6372,4,l,,DG PL hilus,31369,15.218
6372,4,l,,DG-ML,32601,16.178
6372,4,p,2,CA1 SLM,13744,19.112
6372,4,p,2,CA4 pyr,22643,18.356
6372,4,p,2,DG PL hilus,47665,19.805
6372,4,p,2,DG-ML,23314,18.491
6372,5,l,2,CA1 SLM,12386,17.511
6372,5,l,2,CA4 pyr,11531,14.484
6372,5,l,2,DG PL hilus,29155,14.99
6372,5,l,2,DG-ML,24594,13.819
6372,5,p,,CA1 SLM,X,X
6372,5,p,,CA4 pyr,X,X
6372,5,p,,DG PL hilus,X,X
6372,5,p,,DG-ML,X,X
6372,6,l,1,CA1 SLM,20853,15.731
6372,6,l,1,CA4 pyr,18256,12.913
6372,6,l,1,DG PL hilus,31900,16.921
6372,6,l,1,DG-ML,31268,15.838
6372,6,p,,CA1 SLM,24773,14.587
6372,6,p,,CA4 pyr,24338,13.135
6372,6,p,,DG PL hilus,36603,16.244
6372,6,p,,DG-ML,35778,13.736
6372,7,l,,CA1 SLM,24335,17.036
6372,7,l,,CA4 pyr,19059,15.519
6372,7,l,,DG PL hilus,32027,19.164
6372,7,l,,DG-ML,47782,18.273
6372,7,p,,CA1 SLM,12759,17.624
6372,7,p,,CA4 pyr,20008,13.612
6372,7,p,,DG PL hilus,37444,17.613
6372,7,p,,DG-ML,42474,14.561
6372,8,l,3,CA1 SLM,16632,17.395
6372,8,l,3,CA4 pyr,26730,15.462
6372,8,l,3,DG PL hilus,51766,17.776
6372,8,l,3,DG-ML,22540,17.38
6372,8,p,2,CA1 SLM,21276,15.928
6372,8,p,2,CA4 pyr,20446,14.479
6372,8,p,2,DG PL hilus,34435,20.237
