id mito,id,sex,genotype,treatment,normalisation,region,Sample,M_plus_G,D,c,P,S,Fccp,Rot,Ama,As/Tm,Azd,C_iv,b,out,out_susp
EM159,120,m,wt,eda,cs,cerebellum,,,,,,,,,,,,,,1,
EM160,120,m,wt,eda,cs,cerebellum,,,,,,,,,,,,,,1,
EM19,5,m,sca,eda,cs,cerebellum,300.456381,710.8460952,2223.00419,2144.681143,2531.840762,8145.273143,11222.26019,5072.845333,0,38496.47733,6503.461714,31993.01562,,,
EM20,5,m,sca,eda,cs,cerebellum,226.7767619,613.800381,1901.027429,1830.028952,2440.345143,7330.393524,9891.882286,4470.611429,0,37677.47238,7120.830476,30556.6419,,,
EM87,63,m,sca,eda,cs,cerebellum,0,534.6130435,2287.46087,2480.897217,3144.26087,4577.289913,7119.60887,3306.556174,261.2086957,24560.56226,4295.698957,20264.8633,,,
EM88,63,m,sca,eda,cs,cerebellum,0,681.83175,2137.869,2439.47025,2972.59875,3572.5755,5568.69,2215.4145,62.934,32267.02425,6154.25925,26112.765,,,
EM99,69,m,sca,eda,cs,cerebellum,10.25984,491.16672,1534.66752,1900.48576,2830.44288,6739.92064,8472.84352,3883.84448,0,23196.31232,4282.30272,18914.0096,,,
EM100,69,m,sca,eda,cs,cerebellum,,,,,,,,,,,,,,1,
EM135,87,m,sca,eda,cs,cerebellum,54.536,660.824,3399.601067,3866.878933,5318.6336,10335.7552,13495.94187,5299.938133,0,29316.14187,4691.8912,24624.25067,,,
EM136,87,m,sca,eda,cs,cerebellum,19.89485714,538.6377143,2656.517143,2937.328,4372.021143,8931.081143,11261.38286,4470.329714,0,29866.17314,5661.048571,24205.12457,,,
EM147,92,m,sca,eda,cs,cerebellum,58.78826667,561.544,2945.4608,3089.24,4706.044267,9253.213333,12238.52213,4709.1904,0,24847.89813,4018.654933,20829.2432,,,
EM148,92,m,sca,eda,cs,cerebellum,130.2169091,557.6061818,3316.103455,3470.327455,5048.582727,9446.720727,12758.34545,4711.176,0,27345.50455,4584.315818,22761.18873,,,
EM67,58,f,wt,eda,cs,cerebellum,0,726.4154839,3395.735742,3662.032516,4919.900903,8926.768,11198.03819,4163.003871,7.659870968,24554.81755,3531.648,21023.16955,,,
EM68,58,f,wt,eda,cs,cerebellum,56.576,577.6033333,2637.448,2863.412,3395.546,4853.692667,7453.797333,3130.493333,0,32828.7,6090.748667,26737.95133,,,
EM119,76,f,wt,eda,cs,cerebellum,168.8015,604.0525,2547.1865,2845.171,4021.8855,8810.199,10463.347,4879.136,0,26312.6,4046.408,22266.192,,,
EM120,76,f,wt,eda,cs,cerebellum,99.93794595,575.7210811,2528.221622,2892.466378,3861.587676,8776.311568,10713.7933,4993.776649,0,32653.12216,5916.584432,26736.53773,,,
EM155,96,f,wt,eda,cs,cerebellum,29.325,589.770375,2919.730875,3205.917375,5647.733625,10502.28338,12559.72538,5096.232375,0,26591.502,4502.13975,22089.36225,,,
EM156,96,f,wt,eda,cs,cerebellum,41.21584615,612.2981538,2688.531692,2948.647385,4961.083846,9292.2,11257.99892,4624.334769,0,25620.18738,4403.473385,21216.714,,,
EM163,121,f,wt,eda,cs,cerebellum,,,,,,,,,,,,,,,
EM164,121,f,wt,eda,cs,cerebellum,,,,,,,,,,,,,,,
EM167,122,f,wt,eda,cs,cerebellum,,,,,,,,,,,,,,,
EM168,122,f,wt,eda,cs,cerebellum,,,,,,,,,,,,,,,
EM91,64,m,sca,ctrl,cs,cerebellum,0,568.8304615,2774.227385,2796.191385,4457.823692,7470.631692,9592.357231,3470.390462,32.85446154,17670.87754,2302.762462,15368.11508,,,
EM92,64,m,sca,ctrl,cs,cerebellum,,,,,,,,,,,,,,1,
EM115,75,m,sca,ctrl,cs,cerebellum,395.11536,816.90576,2507.2824,2755.88496,3580.25712,8355.97056,10837.2552,4760.748,0,26470.68912,3741.8088,22728.88032,,,
EM116,75,m,sca,ctrl,cs,cerebellum,254.3671837,739.4542041,2322.835592,2540.990694,3495.852245,8174.871184,10588.18286,4205.339265,0,28912.12898,4255.073633,24657.05535,,,
EM131,86,m,sca,ctrl,cs,cerebellum,70.08327273,545.7370909,2837.241273,3066.778364,4716.702545,10147.07127,12441.46855,5306.253273,0,31582.47327,5163.712909,26418.76036,,,
EM132,86,m,sca,ctrl,cs,cerebellum,77.48,533.072,2263.144,2544.688,3913.592,8063.056,10100.776,4184.944,0,22821.504,3580.192,19241.312,,,
EM139,88,m,sca,ctrl,cs,cerebellum,305.8007442,1070.440186,5641.06493,5750.209674,9222.498419,14690.52391,18087.46549,6385.133581,0,32020.72242,5461.222326,26559.50009,,1,
EM140,88,m,sca,ctrl,cs,cerebellum,80.82834783,1028.470435,4110.919304,4194.781043,6353.899304,10314.036,13180.36017,4479.414261,0,24340.21565,4519.460348,19820.7553,,1,
EM143,89,m,sca,ctrl,cs,cerebellum,35.40857143,491.1834286,3085.432,3404.497714,5383.453143,10785.004,14063.71143,5729.038857,0,26479.14171,3941.911429,22537.23029,,,
EM144,89,m,sca,ctrl,cs,cerebellum,59.33912195,598.3469268,2734.406049,3004.104,4466.893463,9459.23122,12126.43668,4855.289561,0,30341.3081,5115.225366,25226.08273,,,
