id,treatment,genotype,sex,day,session,rot_latency,pre_post
110,ctrl,sca,f,3,2,119.2,pre
110,ctrl,sca,f,3,3,83.3,pre
110,ctrl,sca,f,3,4,169,pre
111,ctrl,wt,f,1,1,108.5,pre
111,ctrl,wt,f,1,2,43.2,pre
111,ctrl,wt,f,1,3,50.9,pre
111,ctrl,wt,f,1,4,85.5,pre
111,ctrl,wt,f,2,1,54.1,pre
111,ctrl,wt,f,2,2,217.3,pre
111,ctrl,wt,f,2,3,62.8,pre
111,ctrl,wt,f,2,4,89.9,pre
111,ctrl,wt,f,3,1,186.2,pre
111,ctrl,wt,f,3,2,96.5,pre
111,ctrl,wt,f,3,3,260.6,pre
111,ctrl,wt,f,3,4,113.8,pre
114,eda,wt,m,1,1,50.3,pre
114,eda,wt,m,1,2,43.2,pre
114,eda,wt,m,1,3,144.9,pre
114,eda,wt,m,1,4,91.8,pre
114,eda,wt,m,2,1,136.2,pre
114,eda,wt,m,2,2,171.6,pre
114,eda,wt,m,2,3,143.2,pre
114,eda,wt,m,2,4,155.4,pre
114,eda,wt,m,3,1,179.7,pre
114,eda,wt,m,3,2,214.9,pre
114,eda,wt,m,3,3,190.5,pre
114,eda,wt,m,3,4,217.8,pre
115,eda,sca,m,1,1,39.8,pre
115,eda,sca,m,1,2,115.4,pre
115,eda,sca,m,1,3,109.9,pre
115,eda,sca,m,1,4,132.7,pre
115,eda,sca,m,2,1,131.3,pre
115,eda,sca,m,2,2,156.3,pre
115,eda,sca,m,2,3,107,pre
115,eda,sca,m,2,4,126.9,pre
115,eda,sca,m,3,1,109.4,pre
115,eda,sca,m,3,2,136.7,pre
115,eda,sca,m,3,3,147.7,pre
115,eda,sca,m,3,4,140.6,pre
119,eda,sca,m,1,1,69.2,pre
119,eda,sca,m,1,2,115.7,pre
119,eda,sca,m,1,3,93.5,pre
119,eda,sca,m,1,4,113.3,pre
119,eda,sca,m,2,1,47.8,pre
119,eda,sca,m,2,2,95.2,pre
119,eda,sca,m,2,3,191.9,pre
119,eda,sca,m,2,4,141.9,pre
119,eda,sca,m,3,1,127.3,pre
119,eda,sca,m,3,2,134.4,pre
119,eda,sca,m,3,3,104.9,pre
119,eda,sca,m,3,4,95.1,pre
123,ctrl,sca,f,1,1,112.5,pre
123,ctrl,sca,f,1,2,35.4,pre
123,ctrl,sca,f,1,3,96.8,pre
123,ctrl,sca,f,1,4,137.3,pre
123,ctrl,sca,f,2,1,162.3,pre
123,ctrl,sca,f,2,2,243.9,pre
123,ctrl,sca,f,2,3,209.2,pre
123,ctrl,sca,f,2,4,185,pre
123,ctrl,sca,f,3,1,134.4,pre
123,ctrl,sca,f,3,2,152.2,pre
123,ctrl,sca,f,3,3,141,pre
123,ctrl,sca,f,3,4,120.4,pre
124,eda,wt,f,1,1,66.5,pre
124,eda,wt,f,1,2,76.4,pre
124,eda,wt,f,1,3,101,pre
124,eda,wt,f,1,4,70.7,pre
124,eda,wt,f,2,1,87.5,pre
124,eda,wt,f,2,2,162.4,pre
124,eda,wt,f,2,3,129.7,pre
124,eda,wt,f,2,4,106.1,pre
124,eda,wt,f,3,1,102.5,pre
124,eda,wt,f,3,2,131.2,pre
124,eda,wt,f,3,3,85.2,pre
124,eda,wt,f,3,4,122.8,pre
132,ctrl,wt,f,1,1,135.1,pre
132,ctrl,wt,f,1,2,195.9,pre
132,ctrl,wt,f,1,3,98.6,pre
132,ctrl,wt,f,1,4,80,pre
132,ctrl,wt,f,2,1,152.8,pre
132,ctrl,wt,f,2,2,72.6,pre
132,ctrl,wt,f,2,3,88.3,pre
132,ctrl,wt,f,2,4,172.2,pre
132,ctrl,wt,f,3,1,193.7,pre
132,ctrl,wt,f,3,2,191.3,pre
132,ctrl,wt,f,3,3,207.9,pre
132,ctrl,wt,f,3,4,18.8,pre
133,eda,wt,f,1,1,171.8,pre
133,eda,wt,f,1,2,138,pre
133,eda,wt,f,1,3,155.2,pre
133,eda,wt,f,1,4,149.7,pre
133,eda,wt,f,2,1,101.8,pre
133,eda,wt,f,2,2,218.8,pre
133,eda,wt,f,2,3,249.9,pre
133,eda,wt,f,2,4,243.4,pre
133,eda,wt,f,3,1,257.3,pre
133,eda,wt,f,3,2,244.8,pre
133,eda,wt,f,3,3,210.9,pre
133,eda,wt,f,3,4,127.4,pre
134,ctrl,wt,f,1,1,158.3,pre
134,ctrl,wt,f,1,2,73.3,pre
134,ctrl,wt,f,1,3,119.5,pre
134,ctrl,wt,f,1,4,207.1,pre
134,ctrl,wt,f,2,1,170.5,pre
134,ctrl,wt,f,2,2,220.6,pre
134,ctrl,wt,f,2,3,193,pre
134,ctrl,wt,f,2,4,220,pre
134,ctrl,wt,f,3,1,199.1,pre
